organization_municipio;NOME_MUNICIPIO;LONGITUDE;LATITUDE
BRASÍLIA;BRASÍLIA;-47.8879054780313;-15.794087361891
DUQUE DE CAXIAS;DUQUE DE CAXIAS;-43.3098880717226;-22.7852532496542
RIO DE JANEIRO;RIO DE JANEIRO;-43.2278751249952;-22.8766521181865
BELO HORIZONTE;BELO HORIZONTE;-43.9264531735305;-19.9375242937751
DOURADOS;DOURADOS;-54.8112891228926;-22.2272355368989
JUIZ DE FORA;JUIZ DE FORA;-43.3488172724747;-21.7609243086743
RECIFE;RECIFE;-34.8889419445777;-8.06276248305241
NATAL;NATAL;-35.2522547280543;-5.75089853761206
SÃO PAULO;SÃO PAULO;-46.5703831821128;-23.5673865
CAMPINAS;CAMPINAS;-47.0601562729732;-22.9073425
LAVRAS;LAVRAS;-44.9999311091152;-21.2428702373008
BELÉM;BELÉM;-48.4878256874876;-1.459845
BELÉM;BELÉM;-35.5362740820625;-6.69404260977741
BELÉM;BELÉM;-36.4944979894058;-9.56864823133606
CHAPECÓ;CHAPECÓ;-52.6170311134138;-27.1068370215332
SALVADOR;SALVADOR;-38.4880614840079;-13.0147719115328
CUIABÁ;CUIABÁ;-56.0732520381911;-15.5699890131206
QUITANDINHA;QUITANDINHA;-49.4966829869198;-25.8683083492793
PELOTAS;PELOTAS;-52.3443200629915;-31.7195978808292
MACAPÁ;MACAPÁ;-51.057405457036;0.03895101
UBERLÂNDIA;UBERLÂNDIA;-48.2779501847345;-18.9189986093056
UBERABA;UBERABA;-47.9836248955742;-19.7135346071021
SANTA MARIA;SANTA MARIA;-35.6903638553156;-5.83851870108946
SANTA MARIA;SANTA MARIA;-53.8086753946629;-29.6855818035457
GOIÂNIA;GOIÂNIA;-49.2558142758158;-16.6733097738389
CURITIBA;CURITIBA;-49.2718478850774;-25.432956
BOA VISTA;BOA VISTA;-60.6705326729651;2.81668191910439
BOA VISTA;BOA VISTA;-36.2353736587535;-7.25791308057967
JOÃO PESSOA;JOÃO PESSOA;-34.8733848135386;-7.14938202
FORTALEZA;FORTALEZA;-38.5899275550432;-3.723805035
RIO GRANDE;RIO GRANDE;-52.0867696991135;-32.0504457926525
